customer_id,tenure,monthly_charges,total_charges,churn
CUST-001,24,65.50,1572.00,0
CUST-002,3,95.20,285.60,1
CUST-003,48,45.00,2160.00,0
CUST-004,1,85.75,85.75,1
CUST-005,36,55.30,1990.80,0
CUST-006,8,72.00,576.00,1
CUST-007,60,38.50,2310.00,0
CUST-008,2,91.00,182.00,1
CUST-009,15,60.25,903.75,0
CUST-010,5,78.90,394.50,1
CUST-011,30,42.00,1260.00,0
CUST-012,7,88.50,619.50,1
CUST-013,22,50.00,1100.00,0
CUST-014,4,93.75,375.00,1
CUST-015,72,35.00,2520.00,0
CUST-016,11,67.80,745.80,0
CUST-017,2,98.00,196.00,1
CUST-018,18,55.50,999.00,0
CUST-019,6,82.30,493.80,1
CUST-020,40,44.00,1760.00,0
CUST-021,9,74.60,671.40,1
CUST-022,28,48.75,1365.00,0
CUST-023,3,96.50,289.50,1
CUST-024,14,62.00,868.00,0
CUST-025,1,89.99,89.99,1
CUST-026,33,40.50,1336.50,0
CUST-027,10,71.25,712.50,0
CUST-028,5,84.00,420.00,1
CUST-029,20,53.00,1060.00,0
CUST-030,7,77.50,542.50,1
CUST-031,45,36.80,1656.00,0
CUST-032,4,92.00,368.00,1
CUST-033,16,58.90,942.40,0
CUST-034,2,97.30,194.60,1
CUST-035,25,47.00,1175.00,0
CUST-036,13,64.75,841.75,0
CUST-037,6,80.00,480.00,1
CUST-038,38,41.20,1565.60,0
CUST-039,3,94.50,283.50,1
CUST-040,19,56.80,1079.20,0
CUST-041,8,75.90,607.20,1
CUST-042,27,49.50,1336.50,0
CUST-043,1,99.00,99.00,1
CUST-044,17,59.75,1015.75,0
CUST-045,5,86.25,431.25,1
CUST-046,42,37.50,1575.00,0
CUST-047,11,69.00,759.00,0
CUST-048,4,90.50,362.00,1
CUST-049,23,51.80,1191.40,0
CUST-050,6,83.70,502.20,1
CUST-051,31,43.25,1340.75,0
CUST-052,2,96.00,192.00,1
CUST-053,26,48.00,1248.00,0
CUST-054,9,79.50,715.50,1
CUST-055,50,34.90,1745.00,0
CUST-056,12,66.75,801.00,0
CUST-057,4,87.00,348.00,1
CUST-058,21,52.50,1102.50,0
CUST-059,7,81.60,571.20,1
CUST-060,44,39.80,1751.20,0
CUST-061,10,73.40,734.00,0
CUST-062,3,95.80,287.40,1
CUST-063,29,46.50,1348.50,0
CUST-064,5,88.90,444.50,1
CUST-065,55,33.50,1842.50,0
CUST-066,14,63.25,885.50,0
CUST-067,6,82.75,496.50,1
CUST-068,35,40.00,1400.00,0
CUST-069,1,97.50,97.50,1
CUST-070,20,54.25,1085.00,0
CUST-071,8,76.80,614.40,1
CUST-072,32,44.50,1424.00,0
CUST-073,2,98.50,197.00,1
CUST-074,18,57.90,1042.20,0
CUST-075,7,85.00,595.00,1
CUST-076,46,36.00,1656.00,0
CUST-077,13,65.00,845.00,0
CUST-078,4,91.25,365.00,1
CUST-079,24,50.75,1218.00,0
CUST-080,6,84.50,507.00,1
CUST-081,39,38.00,1482.00,0
CUST-082,11,70.50,775.50,0
CUST-083,3,94.00,282.00,1
CUST-084,22,52.00,1144.00,0
CUST-085,8,78.25,626.00,1
CUST-086,47,35.50,1668.50,0
CUST-087,15,61.50,922.50,0
CUST-088,5,89.50,447.50,1
CUST-089,27,47.75,1289.25,0
CUST-090,9,77.00,693.00,1
CUST-091,53,33.00,1749.00,0
CUST-092,12,68.50,822.00,0
CUST-093,2,99.50,199.00,1
CUST-094,19,55.00,1045.00,0
CUST-095,7,83.25,582.75,1
CUST-096,41,37.00,1517.00,0
CUST-097,10,72.75,727.50,0
CUST-098,4,92.50,370.00,1
CUST-099,25,49.25,1231.25,0
CUST-100,6,86.75,520.50,1
